Symptom,Description
What is Itching?,"Itching is a sensation that makes you want to scratch your skin. It can happen anywhere on your body, like your arms, legs, or back. Common causes include dry skin, allergies, insect bites, or skin conditions like eczema. Scratching too much can make the itching worse and even damage your skin. Itching can be mild or severe, depending on the cause."
What is Skin Rash?,"A skin rash is when your skin becomes red, bumpy, or irritated. It might itch, burn, or hurt, depending on the cause. Rashes can be caused by allergies, infections (like chickenpox or measles), or contact with something irritating, like poison ivy. Some rashes are small and localized, while others can spread over large areas of your body. Rashes can vary in appearance, from small red dots to large, swollen patches."
What is Nodal Skin Eruptions?,"Nodal skin eruptions are small, firm lumps or bumps that appear under the skin. These nodules can be caused by infections, inflammation, or even tumors. They may or may not be painful, depending on the cause. Sometimes, they can be a sign of a deeper health issue, like tuberculosis or rheumatoid arthritis. These lumps can feel hard or soft and may appear in clusters or alone."
What is Continuous Sneezing?,"Continuous sneezing is when you sneeze repeatedly without stopping. It’s often caused by allergies, such as pollen or dust, or by irritants like smoke or strong smells. Sneezing is your body’s way of clearing your nose of irritants or germs. If sneezing is accompanied by a runny nose or itchy eyes, it’s likely due to allergies. In some cases, it could also be a symptom of a cold or flu."
What is Shivering?,"Shivering is when your body shakes uncontrollably, usually because you’re cold or have a fever. It’s your body’s way of generating heat to warm itself up. Shivering can also happen when you’re anxious or scared. If shivering is accompanied by a high fever, it could be a sign of an infection. Shivering can range from mild trembling to intense shaking."
What is Chills?,"Chills are a feeling of coldness that often comes with shivering. They usually happen when you have a fever or are exposed to cold temperatures. Chills can also be a sign of an infection, like the flu or a urinary tract infection. Sometimes, they occur even without a fever, especially if you’re feeling anxious or stressed. Chills can make you feel very cold, even if the room temperature is normal."
What is Joint Pain?,"Joint pain is discomfort or soreness in your joints, like your knees, elbows, or shoulders. It can be caused by injuries, arthritis (inflammation of the joints), or infections. Joint pain can make it hard to move the affected area and may feel worse after physical activity. Sometimes, the pain is accompanied by swelling or redness. Joint pain can be mild or severe, depending on the cause."
What is Stomach Pain?,"Stomach pain is a general term for discomfort in your belly area. It can range from mild to severe and may feel like cramping, burning, or aching. Common causes include gas, indigestion, infections, or eating something that doesn’t agree with you. The pain can be localized to one area or spread across the entire belly. It can make it hard to eat or move comfortably."
What is Acidity?,"Acidity happens when your stomach produces too much acid, causing a burning feeling in your chest or throat. This is often called heartburn or acid reflux. It’s usually triggered by spicy or fatty foods, stress, or eating too much at once. The burning sensation can last for a few minutes or several hours. Acidity can also cause a sour taste in your mouth or make you feel bloated."
What is Ulcers on Tongue?,"Ulcers on the tongue are small, painful sores that can make eating or talking uncomfortable. They can be caused by biting your tongue, infections (like herpes), or vitamin deficiencies (like lack of vitamin B12). These sores are usually round or oval and have a white or yellowish center with a red border. They can appear alone or in clusters and may take a few days to heal."
What is Muscle Wasting?,"Muscle wasting is when your muscles become smaller and weaker. It can happen if you don’t use your muscles enough, like during long bed rest, or if you have certain diseases (like muscular dystrophy). Muscle wasting can make it hard to perform everyday tasks, like walking or lifting objects. It can affect one part of the body or spread to multiple areas."
What is Vomiting?,"Vomiting is when you forcefully throw up the contents of your stomach. It can be caused by infections, food poisoning, motion sickness, or even stress. Vomiting is your body’s way of getting rid of something harmful in your stomach. It can be accompanied by nausea, sweating, or dizziness. Repeated vomiting can lead to dehydration, so it’s important to stay hydrated."
What is Burning Micturition?,"Burning micturition is a burning or painful feeling when you urinate. It’s often a sign of a urinary tract infection (UTI) or irritation in the urinary tract. The pain can range from mild to severe and may be accompanied by a frequent urge to urinate. Sometimes, the urine may appear cloudy or have a strong smell. This condition is more common in women than men."
What is Spotting Urination?,"Spotting urination means seeing small amounts of blood in your urine. It can be caused by infections, kidney stones, or other issues in the urinary tract. The blood may make your urine look pink, red, or brown. Sometimes, spotting urination is painless, but it can also be accompanied by pain or discomfort. It’s important to monitor this symptom and note any other changes."
What is Fatigue?,"Fatigue is extreme tiredness or lack of energy. It can happen if you’re not sleeping well, stressed, or overworked. Fatigue can also be a symptom of underlying health conditions, like anemia or thyroid problems. It can make it hard to focus, stay active, or complete daily tasks. Unlike regular tiredness, fatigue doesn’t always go away with rest."
What is Weight Gain?,"Weight gain is an increase in body weight, which can happen over time. It’s often caused by eating more calories than your body burns, lack of physical activity, or hormonal changes. Weight gain can also be a side effect of certain medications or medical conditions. It can lead to changes in body shape and may affect your energy levels. Monitoring your diet and activity can help manage weight gain."
What is Anxiety?,"Anxiety is a feeling of worry, nervousness, or unease. It can be triggered by stress, fear, or uncertainty about the future. Anxiety can cause physical symptoms like a racing heart, sweating, or trouble sleeping. It can range from mild to severe and may interfere with daily activities. Some people experience anxiety in specific situations, while others feel it more constantly."
What is Cold Hands and Feet?,"Cold hands and feet occur when your extremities feel unusually cold. This can happen due to poor blood circulation, cold weather, or stress. Sometimes, it’s a sign of conditions like anemia or Raynaud’s disease. Cold hands and feet can make it uncomfortable to perform tasks or stay warm. Wearing warm clothing or moving around can help improve circulation."
What is Mood Swings?,"Mood swings are sudden changes in your emotions, like going from happy to sad or angry quickly. They can be caused by stress, hormonal changes, or mental health conditions like bipolar disorder. Mood swings can make it hard to predict how you’ll feel from one moment to the next. They can affect your relationships and daily life. Understanding triggers can help manage mood swings."
What is Weight Loss?,"Weight loss is a decrease in body weight, which can happen unintentionally or on purpose. It can be caused by eating less, increased physical activity, or underlying health issues like thyroid problems. Rapid weight loss without trying can be a sign of a medical condition. It can lead to changes in energy levels and overall health. Monitoring your diet and health is important if weight loss occurs unexpectedly."
What is Restlessness?,"Restlessness is a feeling of being unable to relax or stay still. It can be caused by stress, anxiety, or hyperactivity disorders. Restlessness can make it hard to focus or sleep. Some people feel the need to constantly move or fidget. It can affect your ability to complete tasks or enjoy quiet moments."
What is Lethargy?,"Lethargy is a lack of energy or enthusiasm. It can make you feel tired, sluggish, or unmotivated. Lethargy can be caused by lack of sleep, poor diet, or underlying health conditions. It can make it hard to stay active or complete daily tasks. Unlike regular tiredness, lethargy doesn’t always improve with rest."
